iter	RMSE
0	3717.786335
1	3494.043523
2	3288.347314
3	3095.779014
4	2921.550837
5	2752.718084
6	2605.312648
7	2466.113997
8	2338.824709
9	2219.711026
10	2107.858201
11	2001.281478
12	1903.087599
13	1814.68788
14	1737.771088
15	1661.827003
16	1597.067979
17	1537.017414
18	1478.452409
19	1427.874133
20	1382.720244
21	1336.7773
22	1297.659375
23	1257.746159
24	1223.559295
25	1187.103236
26	1156.373249
27	1127.254381
28	1103.759378
29	1077.23332
30	1057.516864
31	1036.009696
32	1013.437858
33	997.3122489
34	980.1741731
35	965.8139373
36	947.6173593
37	933.0723649
38	919.1168544
39	907.1976137
40	895.103643
41	881.7796614
42	870.7540137
43	858.3476473
44	848.1022948
45	839.189244
46	830.1667167
47	821.7409077
48	813.1128552
49	805.2014394
50	797.9242549
51	791.6097747
52	783.9976765
53	777.4651674
54	772.0171053
55	766.9974089
56	761.1416429
57	756.920128
58	752.5354896
59	748.0629591
60	744.5334635
61	740.7062974
62	736.7762999
63	732.0029243
64	727.8876349
65	724.1737943
66	719.6866759
67	715.984448
68	712.6973822
69	710.3186809
70	706.6738348
71	703.9661982
72	700.6308026
73	696.6280048
74	694.2312804
75	692.1787953
76	689.0075275
77	686.7107144
78	684.2832523
79	682.8580927
80	679.5129219
81	675.623168
82	673.4538029
83	671.7708421
84	669.3200546
85	665.9524965
86	663.2103238
87	661.7088537
88	660.4589851
89	658.3534207
90	657.1963866
91	654.3852385
92	652.7827906
93	650.0565701
94	647.8147171
95	645.8138757
96	644.2156431
97	642.1706081
98	640.0259039
99	638.8881922
100	637.2062789
101	635.9914601
102	634.8225542
103	633.236848
104	631.6653001
105	630.2424606
106	628.3647843
107	627.7329171
108	626.3820497
109	625.4752778
110	623.6725093
111	621.6412375
112	619.9577409
113	617.6512689
114	616.579387
115	615.0166471
116	613.6981859
117	612.3971669
118	611.7171871
119	611.1052905
120	610.2972478
121	609.1329892
122	607.740679
123	605.9252529
124	604.8090449
125	604.2359621
126	602.5989609
127	601.8032108
128	600.7790627
129	600.1219511
130	599.0590235
131	598.1211885
132	597.3354783
133	596.3405581
134	595.9027967
135	594.8106706
136	594.3255258
137	592.8200897
138	591.8332939
139	591.1366191
140	590.358887
141	589.9161236
142	588.8145789
143	588.1113333
144	587.2293288
145	586.7400389
146	585.9849032
147	585.0355016
148	584.5006246
149	583.7352628
150	583.4325058
151	582.2617366
152	581.5618895
153	580.9323668
154	579.4269198
155	578.2473316
156	576.9952315
157	576.3736897
158	575.615749
159	574.982808
160	574.1399443
161	573.3860362
162	572.7987855
163	572.1629117
164	571.6015212
165	571.2131203
166	571.0784132
167	570.4472886
168	570.0793124
169	569.5553997
170	569.3116807
171	568.7970335
172	567.7574219
173	567.2175702
174	566.7053125
175	566.5492521
176	565.8663466
177	565.2687758
178	564.7538643
179	564.3345491
180	562.8410233
181	562.4024944
182	561.8879917
183	561.304989
184	560.9325577
185	560.4890868
186	560.0614762
187	559.1756598
188	558.4535968
189	558.2309958
190	557.9731311
191	557.6047315
192	557.0047107
193	556.8760194
194	556.3471549
195	555.9786158
196	555.8154433
197	555.4899571
198	554.6480307
199	554.0425602
200	553.1081888
201	552.727174
202	552.2555777
203	551.9970115
204	551.595223
205	550.8424048
206	550.4039739
207	549.8840007
208	549.4956306
209	548.9059279
210	548.7357106
211	548.5002078
212	548.3514084
213	547.8573719
214	547.5370504
215	547.065824
216	546.9555451
217	546.5293641
218	545.7752297
219	545.4190233
220	545.042147
221	544.7038796
222	543.7199485
223	543.3565971
224	543.2055274
225	542.7586209
226	541.6256637
227	541.2407679
228	540.9618555
229	540.6247531
230	540.2226362
231	539.9985502
232	539.9041586
233	539.5869079
234	538.6080664
235	538.4664684
236	538.1618801
237	537.8237881
238	537.1235268
239	536.8740844
240	536.1282056
241	535.7587845
242	535.4355187
243	535.0427483
244	534.8294949
245	534.5958205
246	534.4537048
247	534.1695668
248	533.8988883
249	533.7300953
250	533.3862317
251	532.7709594
252	532.409458
253	532.2720155
254	531.9998966
255	531.6942652
256	531.4768428
257	530.9552595
258	530.583771
259	530.3654516
260	530.0398031
261	529.7674806
262	529.3760368
263	528.8926842
264	528.5549888
265	528.2287607
266	527.9673794
267	527.8481058
268	527.465741
269	527.1945638
270	527.0873723
271	526.8369214
272	526.5702597
273	526.288057
274	525.9572144
275	525.5529783
276	525.3603371
277	525.195449
278	524.9589026
279	524.7215237
280	524.4242954
281	523.9546253
282	523.7063234
283	523.3624628
284	523.0883194
285	522.7420886
286	522.4377658
287	522.147168
288	521.9026885
289	521.5932775
290	521.3887385
291	521.1927413
292	520.9325813
293	520.7576422
294	520.4908151
295	520.1951882
296	520.0038349
297	519.7317835
298	519.407507
299	519.1786919
300	518.9440055
301	518.8830696
302	518.6542647
303	518.3804688
304	518.0959767
305	517.8400394
306	517.5973017
307	517.3395487
308	517.046086
309	516.8123354
310	516.6247571
311	516.3971137
312	516.1644829
313	515.9646196
314	515.9007875
315	515.6962552
316	515.6193745
317	515.4417952
318	515.2483469
319	514.7264014
320	514.4043133
321	514.2307384
322	513.9937818
323	513.6723929
324	513.42823
325	513.0250384
326	512.8029559
327	512.7127161
328	512.4666531
329	512.2722439
330	512.0445308
331	511.8571494
332	511.6854785
333	511.406199
334	511.222239
335	511.1787362
336	510.9462492
337	510.7158656
338	510.5350399
339	510.3537842
340	509.9239383
341	509.7613886
342	509.6756658
343	509.4596907
344	509.3644248
345	509.1877836
346	508.8786739
347	508.6456564
348	508.3993971
349	508.1077098
350	507.8509646
351	507.6262184
352	507.4742064
353	507.3645166
354	506.7195959
355	506.4640702
356	506.2095005
357	505.9837762
358	505.6870046
359	505.5369411
360	505.2884852
361	504.9992
362	504.805396
363	504.5754218
364	504.4851721
365	504.3578742
366	504.1642033
367	503.8186237
368	503.3757096
369	503.1278526
370	502.9198475
371	502.7677598
372	502.648029
373	502.3034027
374	502.0396371
375	501.8804534
376	501.7469851
377	501.6162423
378	501.3690074
379	501.3264294
380	501.1713692
381	501.0218761
382	500.8268973
383	500.5797892
384	500.4436606
385	500.3888006
386	500.2180392
387	500.1391169
388	500.0033359
389	499.7605208
390	499.5884168
391	499.4056999
392	499.25797
393	499.0081306
394	498.7853289
395	498.5802861
396	498.3797329
397	498.1145623
398	497.9390849
399	497.757886
400	497.6079701
401	497.4120035
402	497.312837
403	497.1089151
404	496.9770865
405	496.7417562
406	496.5290325
407	496.4099554
408	496.0727827
409	495.8887542
410	495.7643902
411	495.5675258
412	495.4216882
413	495.1973241
414	494.9750524
415	494.6763665
416	494.4767885
417	494.3972883
418	494.2650985
419	494.0320082
420	493.7413731
421	493.6148826
422	493.4671662
423	493.3338063
424	493.159298
425	493.1258978
426	492.9262997
427	492.6992133
428	492.5765646
429	492.4122379
430	492.2607063
431	492.0679602
432	491.9155093
433	491.6859048
434	491.4814159
435	491.2227652
436	491.0118662
437	490.9202868
438	490.8828233
439	490.6200167
440	490.3945287
441	490.3477483
442	490.060754
443	489.9113472
444	489.7831743
445	489.6223231
446	489.4095524
447	489.2866758
448	489.1593517
449	488.9255711
450	488.7962899
451	488.6010632
452	488.4541375
453	488.1984168
454	488.0215761
455	487.920911
456	487.8740484
457	487.7317099
458	487.5955113
459	487.506597
460	487.4636688
461	487.3602417
462	487.2599754
463	487.0918353
464	486.8907879
465	486.7113568
466	486.4987495
467	486.3834574
468	486.3558453
469	486.1619719
470	486.0661715
471	485.897536
472	485.7738685
473	485.5397703
474	485.4103941
475	485.3350162
476	485.2751186
477	485.107367
478	484.9983604
479	484.9572232
480	484.9309393
481	484.7738441
482	484.6054165
483	484.4717212
484	484.3809706
485	484.2284424
486	484.1464478
487	483.9969846
488	483.9426505
489	483.7547306
490	483.4756462
491	483.3516174
492	483.1062682
493	482.9361587
494	482.7474543
495	482.5977743
496	482.3734533
497	482.1530674
498	481.9721652
499	481.8517514
500	481.7147765
501	481.4234313
502	481.3956778
503	481.3012823
504	481.1452879
505	481.0730476
506	480.9451917
507	480.8005104
508	480.5457125
509	480.5243103
510	480.3769352
511	480.2790318
512	480.1211492
513	480.0235803
514	479.8741113
515	479.7040619
516	479.5950591
517	479.4253232
518	479.2990068
519	479.1824694
520	478.8975608
521	478.6665956
522	478.3901582
523	478.2256923
524	478.0455022
525	477.8828967
526	477.7420746
527	477.591982
528	477.3939829
529	477.2800982
530	477.1172292
531	476.9197259
532	476.7580651
533	476.630921
534	476.4227257
535	476.1851473
536	476.1533468
537	476.0375256
538	475.9111574
539	475.8841653
540	475.7243428
541	475.6759714
542	475.5923305
543	475.324551
544	475.1497605
545	475.0083788
546	474.8295062
547	474.6618094
548	474.5516877
549	474.4652074
550	474.3639041
551	474.185771
552	474.1559675
553	474.0324777
554	473.8099862
555	473.7731761
556	473.6685498
557	473.5277971
558	473.5030022
559	473.4008477
560	473.3043506
561	473.2109538
562	473.1443539
563	472.9652893
564	472.8702847
565	472.7181647
566	472.7014996
567	472.6636428
568	472.5887524
569	472.4829851
570	472.3230805
571	472.1944557
572	472.0611937
573	471.988838
574	471.8224904
575	471.7145099
576	471.557099
577	471.4169777
578	471.2421766
579	471.1484052
580	470.9901951
581	470.904519
582	470.7453863
583	470.7054771
584	470.6758858
585	470.6295158
586	470.5777784
587	470.5041897
588	470.4013046
589	470.3188336
590	470.1988061
591	470.0723372
592	469.9084546
593	469.8609274
594	469.772582
595	469.7444332
596	469.5791093
597	469.5409283
598	469.4176097
599	469.1871027
600	468.9881235
601	468.9291329
602	468.8699481
603	468.638492
604	468.5635553
605	468.4957191
606	468.3718264
607	468.2359081
608	468.0110439
609	467.9208017
610	467.8640719
611	467.7735375
612	467.6723801
613	467.6021555
614	467.4322631
615	467.3865018
616	467.3186582
617	467.2400707
618	467.1079949
619	467.0072122
620	466.9306825
621	466.9213021
622	466.8097451
623	466.6691292
624	466.5914822
625	466.5113072
626	466.356003
627	466.2521583
628	466.2083103
629	466.2065313
630	466.1107409
631	465.9570119
632	465.8119952
633	465.7268573
634	465.7251579
635	465.5792901
636	465.4680085
637	465.4506382
638	465.2566536
639	465.091918
640	464.9293988
641	464.9279946
642	464.8283488
643	464.67171
644	464.5702743
645	464.5689211
646	464.5054831
647	464.5039272
648	464.5024202
649	464.3988113
650	464.3086558
651	464.2074896
652	464.1455615
653	464.1052243
654	464.0406387
655	463.8941719
656	463.8582438
657	463.7168394
658	660	478.3056659	661	478.2280660	662	478.1005661	463.2731325
662	664	477.8547663	665	477.767664	4666	477.597665	4667	477.548666	462.7002432
667	462.4773813
668	462.4186626
669	462.330947
670	462.2815231
671	462.2185408
672	462.1393981
673	462.0165293
674	461.9389744
675	461.8541715
676	461.8528238
677	461.7748259
678	461.7661646
679	461.6143015
680	461.4482964
681	461.3043438
682	461.1689013
683	461.1095037
684	460.8954322
685	460.8104475
686	460.7292445
687	460.5545146
688	460.4214099
689	460.2720025
